On Board Computer,,,,,,
Qty,Value,Parts,Device,Package,Description,Mouser Electronics
2,VLMY1300-GS08,"CR1, CR2",VLMY1300-GS08,LEDC1608X100N,Yellow LED,78-VLMY1300-GS08
1,VLMC3100-GS08,CR3,VLMC3100-GS08,LED_PLCC_VSMB,BiColor Red Green LED,78-VLMC3100
2,SP3004-04XTG,"D1, D3",SP3004-04XTG,SOT563_LTF,ESD/TVS protection Diode,576-SP3004-04XTG
2,PMEG2010ER,"D2, D4",PMEG2010ER,SODFL3517X110N,Schottky Diode,771-PMEG2010ER115
1,ESD122DMYR,D5,ESD122DMYR,DIO_ESD122DMYR,ESD/TVS protection Diode,595-ESD122DMYR
1,NFM18CC471R1C3D,FL1,NFM18CC471R1C3D,FTCap_0603,Feed Through Capacitor,81-NFM18CC471R1C3D
1,BME280,HM1,BME280,PSON65P250X250X100-8N,Humidity sensor,262-BME280
1,NEO-M8Q-0,IC1,NEO-M8Q-0,NEO-M8_UBL,GPS,377-NEO-M8Q-0
1,NSVT30010MXV6T1G,IC2,NSVT30010MXV6T1G,SOT-563_1P3X1P7_ONS,Dual PNP transistor,863-NSVT30010MXV6T1G
1,BC846BLT1G,IC3,BC846BLT1G,SOT96P237X111-3N,NPN BJT Transistor,863-BC846BLT1G
1,LMV321LILT,IC4,LMV321LILT,SOT95P280X145-5N,Operational Amplifier,511-LMV321LILT
1,PKMCS0909E4000-R1,LS1,PKMCS0909E4000-R1,SPKR_PKMCS0909E4000-R1,Buzzer,81-PKMCS0909E4000-R1
1,SC0914(13),MCU1,SC0914(13),QFN56_7X7_RPI,RP2040,358-SC091413 
1, MMBT3906-7-F,Q1, MMBT3906-7-F,SOT-23-3,PNP Transistor ,621-MMBT3906-F
1,VLMKG3400-GS08,U1,VLMKG3400-GS08,SMT_00-GS08_VIS,Timer GPS MOSFET,78-VLMKG3400-GS08
1,LIS2MDLTR,U2,LIS2MDLTR,LGA-12_2X2X1_STM,Magnetometer Sensor,511-LIS2MDLTR
1,BMI323,U3,BMI323,BMI323_BOS,IMU,262-BMI323
1,LSM6DSOTR,U4,LSM6DSOTR,LGA-14L_2P5X3X0P86_STM,IMU,511-LSM6DSOTR
1,LPS22DFTR,U5,LPS22DFTR,QFN_22DFTR_STM,Barometer,511-LPS22DFTR
1,BMP581,U6,BMP581,QFN10_BMP581_BOS,Barometer,262-BMP581
1,W25Q128JVSIQ TR,U7,W25Q128JVSIQ TR,SOIC_208MIL_WIN,Flash Drive,454-W25Q128JVSIQTR
1,ST1L05APU33R,U8,ST1L05APU33R,DFN_5APU33R_STM,ST Voltage Regulator LDO 5V to 3.3V,511-ST1L05APU33R
3,NCR321UX,"U9, U10, U11",NCR321UX,TSOP6_SOT457_NEX,LED drivers,771-NCR321UX
1,ASE-12.000MHZ-LC-T,XTAL1,ASE-12.000MHZ-LC-T,ASE24576MHZLCT,Clock Oscilator,815-ASE-12.000MLCT
30,100n,"C2, C3, C8, C9, C10, C11, C12, C13, C14, C16, C17, C18, C19, C20, C21, C22, C24, C26, C27, C29, C30, C31, C32, C33, C35, C36, C38, C41, C42, C43",GPC0402104-16,C0402,CAPACITOR,
6,1uF,"C5, C23, C25, C28, C34, C40",GPC0402105-16,C0402,CAPACITOR,
4,4.7u,"C1, C4, C37, C39",GPC0402475-6.3,C0402,CAPACITOR,
2,10nF,"C6, C7",GPC0402103-25,C0402,CAPACITOR,
1,10uF,C15,GPC0805103,C0805,CAPACITOR,
5,10k,"R8, R10, R22, R30, R40",GPR040210K,R0402,RESISTOR,
4,5k1,"R13, R14, R24, R25",GPR04025K1,R0402,RESISTOR,
4,1k,"R15, R16, R21, R23",GPR04021K,R0402,RESISTOR,
3,1K,"R6, R9, R37",GPR06031K,R0603,RESISTOR,
3,100K,"R26, R36, R39",GPR0603100K,R0603,RESISTOR,
2,150,"R2, R7",GPR0603150R,R0603,RESISTOR,
2,100,"R3, R4",GPR0603100R,R0603,RESISTOR,
2,2k,"R11, R12",GPR04022K,R0402,RESISTOR,
2,27,"R17, R18",GPR040227R,R0402,RESISTOR,
2,100,"R19, R20",GPR0402100R,R0402,RESISTOR,
1,62,R1,GPR060362R,R0603,RESISTOR,
1,10,R5,GPR040210R,R0402,RESISTOR,
1,2.7K,R27,GPR04022K7,R0402,RESISTOR,
1,750,R28,GPR0805750R,R0805,RESISTOR,
1,22K,R29,GPR040222K,R0402,RESISTOR,
1,51,R31,GPR060351R,R0603,RESISTOR,
1,6.2K,R32,GPR06036K2,R0603,RESISTOR,
1,200K,R33,GPR0603200K,R0603,RESISTOR,
1,1.5k,R34,GPR06031K5,R0603,RESISTOR,
1,11K,R35,GPR060311K,R0603,RESISTOR,
1,24K,R38,GPR060324K,R0603,RESISTOR,
1,1.3K,R41,GPR04021K3,R0402,RESISTOR,
1,24K,R42,GPR040224K,R0402,RESISTOR,
1,27n,L1,LQW15AN27NJ8ZD ,Inductor0402,INDUCTOR,81-LQW15AN27NJ8ZD
1,BAT-HLD-012-SMT-TR,BT1,BAT_BAT-HLD-012-SMT-TR,BAT_BAT-HLD-012-SMT-TR,Battery holder,712-BAT-HLD012SMT-TR
1,22027063,J1,CONN6X1_22027063_MOL,CONN6X1_22027063_MOL,6 Position Connector,538-22-02-7063 
1,PCB.RPSMAFRA.HT,J2,PCBRPSMAFRAHT,PCBRPSMAFRAHT,RP-SMA Jack connector,PCB.RPSMAFRA.HT 
1,DX07S016JA1R1500,J5,JAE_DX07S016JA1R1500,JAE_DX07S016JA1R1500,USB connector,656-DX07S016JA1R1500 
