Ref,Val,Package,PosX,PosY,Rot,Side
"J1","1718560006","CONN06_1718560006_MOL",144.480000,-70.410000,180.000000,bottom
"C1","10nF","Capacitor_0402",130.397324,-87.083580,180.000000,top
"C2","4.7u","Capacitor_0603",143.451500,-72.400000,0.000000,top
"C3","10nF","Capacitor_0402",132.205825,-86.490376,-90.000000,top
"C4","1u","Capacitor_0402",143.451500,-73.890000,0.000000,top
"C5","100nF","Capacitor_0402",127.597321,-79.855082,90.000000,top
"C6","100n","Capacitor_0402",143.451500,-75.090000,0.000000,top
"C7","470nF","Capacitor_0402",125.765824,-80.391879,180.000000,top
"C8","0.8pF","Capacitor_0402",127.997323,-87.083580,180.000000,top
"C9","100nF","Capacitor_0402",124.458500,-83.491877,180.000000,top
"C10","100nF","Capacitor_0402",160.300000,-91.800000,-135.000000,top
"C11","1.2pF","Capacitor_0402",123.800000,-88.528500,90.000000,top
"C12","10u","Capacitor_0805",160.545000,-99.070000,90.000000,top
"C13","0.5pF","Capacitor_0402",121.350000,-91.000000,0.000000,top
"C14","1.2pF","Capacitor_0402",118.812801,-89.700000,-90.000000,top
"C15","1p","Capacitor_0402",117.575640,-88.530529,90.000000,top
"C16","100n","Capacitor_0402",173.080000,-80.638500,-90.000000,top
"C17","100n","Capacitor_0402",114.680000,-83.138500,90.000000,top
"C18","100n","Capacitor_0402",113.480001,-83.138501,90.000000,top
"C19","0.9p","Capacitor_0402",118.780002,-78.510001,0.000000,top
"C20","100n","Capacitor_0402",178.789152,-80.500350,90.000000,top
"C21","0.3p","Capacitor_0402",118.780000,-79.710000,0.000000,top
"C22","1uF","Capacitor_0402",151.282057,-93.049699,-90.000000,top
"C23","100nF","Capacitor_0402",147.696613,-89.718390,45.000000,top
"C24","1uF","Capacitor_0402",156.726421,-82.088957,45.000000,top
"C25","100nF","Capacitor_0402",154.213133,-79.575669,-135.000000,top
"C26","100nF","Capacitor_0402",157.692481,-85.479295,-45.000000,top
"C27","1uF","Capacitor_0402",157.564184,-82.926719,45.000000,top
"C28","100nF","Capacitor_0402",146.846613,-88.868389,-135.000000,top
"C29","100nF","Capacitor_0402",146.810024,-81.140095,135.000000,top
"C30","100nF","Capacitor_0402",155.050896,-80.413431,45.000000,top
"C31","100nF","Capacitor_0402",149.075000,-78.525000,135.000000,top
"C32","100nF","Capacitor_0402",156.852661,-86.322388,-45.000000,top
"C33","100nF","Capacitor_0402",155.888659,-81.251195,45.000000,top
"C34","1uF","Capacitor_0402",140.857548,-94.952852,-45.000000,top
"C35","100nF","Capacitor_0402",154.305888,-88.835888,-45.000000,top
"C37","100n","Capacitor_0402",159.658500,-77.160000,0.000000,top
